HOUSEID,WTHHFIN,NUMADLT,HOMEOWN,HOMETYPE,RAIL,CENSUS_D,CENSUS_R,HH_HISP,DRVRCNT,CNTTDHH,CDIVMSAR,HHFAMINC_IMP,HHSIZE,HHVEHCNT,HHRELATD,LIF_CYC,MSASIZE,URBANSIZE,URBRUR,PPT517,YOUNGCHILD,RESP_CNT,URBRUR_2010,WRKCOUNT
0,24467.77377,1,3,3,1,2,1,2,1,2,21,11,2,0,1,7,5,4,1,1,0,2,1,1
0,17775.81192,2,1,1,2,2,1,2,3,4,23,3,3,2,2,8,3,6,2,1,0,3,2,1
0,6288.230315,1,1,1,2,2,1,2,1,0,22,6,1,1,2,1,4,3,1,0,0,1,1,1
0,4876.60511,1,1,2,1,2,1,2,1,0,21,4,1,1,2,9,5,6,2,0,0,1,2,0
0,9126.325097,2,2,1,1,2,1,2,2,2,21,7,2,2,1,10,5,4,1,0,0,2,1,1
0,48153.16303,1,3,1,2,2,1,1,0,0,23,2,1,0,2,1,1,6,2,0,0,1,1,0
0,4340.790083,2,1,1,1,2,1,2,2,2,21,7,2,2,1,10,5,4,1,0,0,2,1,0
0,10616.88335,2,3,3,2,2,1,2,2,2,23,5,2,2,2,2,2,2,1,0,0,2,1,1
0,10268.80305,3,2,1,1,2,1,1,2,1,21,6,3,2,1,10,5,4,1,0,0,3,1,2
0,12664.04779,1,3,3,1,2,1,1,1,2,21,11,1,1,2,1,5,4,1,0,0,1,1,1
0,7541.302008,1,3,3,1,2,1,2,0,7,21,9,1,0,2,1,5,4,1,0,0,1,1,1
0,10465.40847,1,3,3,2,2,1,2,1,2,23,10,3,1,1,5,2,1,1,2,0,3,1,1
0,7658.409122,2,2,2,1,2,1,2,2,8,21,9,2,2,1,10,5,4,1,0,0,2,1,0
0,16023.92866,2,1,1,2,2,1,2,2,5,23,10,2,3,1,2,3,2,1,0,0,2,1,2
0,32534.2928,2,2,1,1,2,1,2,2,0,21,5,2,1,1,10,5,4,1,0,0,2,1,0
